rating_date,team_id,elo_rating
2004-01-01,CUW,1333.21
2004-04-01,FRA,2048.46
2004-04-01,ESP,2025.34
2004-04-01,NED,2022.6
2004-04-01,ARG,2011.72
2004-04-01,BRA,1990.99
2004-04-01,CZE,1971.32
2004-04-01,ENG,1929.89
2004-04-01,ITA,1920.44
2004-04-01,GER,1920.33
2004-04-01,POR,1906.61
2004-04-01,USA,1892.09
2004-04-01,AUS,1891.26
2004-04-01,JPN,1855.76
2004-04-01,MEX,1849.28
2004-04-01,TUR,1825.45
2004-04-01,CRO,1805.68
2004-04-01,MAR,1798.9
2004-04-01,NOR,1797.82
2004-04-01,IRN,1797.72
2004-04-01,BEL,1794.52
2004-04-01,KOR,1788.55
2004-04-01,TUN,1787.11
2004-04-01,PAR,1782.56
2004-04-01,EGY,1775.67
2004-04-01,COL,1769.07
2004-04-01,URU,1768.46
2004-04-01,SEN,1768.25
