player_id,player_name,birth_date,position,club,base_rating
P-87223,not applicable Mineiro,1975-08-02,Midfielder,,80.9
P-75785,Ehsan Hajsafi,1990-02-25,Midfielder,,82.4
P-58692,Hee-chan Hwang,1996-01-26,Forward,,73.5
P-82555,Abou Diaby,1986-05-11,Midfielder,,79.2
P-23371,Yuya Osako,1990-05-18,Forward,,84.0
P-10231,Papu Gómez,1988-02-15,Midfielder,,79.1
P-25905,Luis García,1978-06-24,Midfielder,,87.9
P-92146,Ulises de la Cruz,1974-02-08,Defender,,77.0
P-84852,Dries Mertens,1987-05-06,Forward,,80.7
P-27229,Omar Daf,1977-02-12,Defender,,83.5
P-60203,Claudio López,1974-07-17,Forward,,79.8
P-68218,Nico Williams,2002-07-12,Forward,,83.9
P-33433,David Raya,1995-09-15,Midfielder,,80.5
P-26637,Mostafa Meshaal,2001-03-28,Midfielder,,76.4
P-39884,Du-ri Cha,1980-07-25,Forward,,74.6
P-38198,Julio Cruz,1974-10-10,Forward,,84.7
P-88273,Kye Rowles,1998-06-24,Defender,,81.4
P-32594,Salvador Carmona,1975-08-22,Defender,,85.5
P-84430,Nahuel Molina,1998-04-06,Defender,,82.9
P-82010,Craig Goodwin,1991-12-16,Forward,,77.8
P-27327,Camilo Vargas,1989-03-09,Midfielder,,86.5
P-37161,Gaizka Mendieta,1974-03-27,Midfielder,,90.4
P-65749,Jiří Štajner,1976-05-27,Forward,,84.2
P-89840,Kisho Yano,1984-04-05,Forward,,77.2
P-02465,Harry Maguire,1993-03-05,Defender,,85.8
P-56817,Jonathan Bornstein,1984-11-07,Defender,,78.5
P-49004,Ahmed Elmohamady,1987-09-09,Defender,,78.4
P-07494,Jung-soo Lee,1980-01-08,Defender,,84.0
P-03735,Steven Defour,1988-04-15,Midfielder,,86.4
P-35408,Karim Benzema,1987-12-19,Forward,,80.2
P-09062,Nathaniel Atkinson,1999-06-13,Defender,,77.8
P-16139,Bo-kyung Kim,1989-10-06,Midfielder,,80.1
P-95996,Rami Shaaban,1975-06-30,Midfielder,,78.3
P-64711,Richard Garcia,1981-09-04,Midfielder,,78.6
P-40312,Andrés Guardado,1986-09-28,Midfielder,,84.2
P-64377,not applicable Marcos,1973-08-04,Midfielder,,81.5
P-28883,Nico Van Kerckhoven,1970-12-14,Defender,,79.8
P-33958,Iliman Ndiaye,2000-03-06,Forward,,73.1
P-73455,Montassar Talbi,1998-05-26,Defender,,77.7
P-63942,Míchel Salgado,1975-10-22,Defender,,87.6
P-91484,Javier Pastore,1989-06-20,Midfielder,,85.3
P-73306,Djibril Sidibé,1992-07-29,Defender,,84.2
P-45985,Gustavo López,1973-04-13,Midfielder,,80.9
P-77467,Mario Méndez,1979-06-01,Defender,,80.0
P-64102,David Silva,1986-01-08,Midfielder,,86.1
P-14026,Jawad El Yamiq,1992-02-29,Defender,,79.8
P-75628,José Cifuentes,1999-03-12,Midfielder,,74.0
P-85453,Dong-gook Lee,1979-04-29,Forward,,75.9
P-38424,José María Basanta,1984-04-03,Defender,,88.1
P-89392,James Rodríguez,1991-07-12,Midfielder,,83.0
P-39774,Alessio Cerci,1987-07-23,Forward,,80.8
P-02609,Min-woo Kim,1990-02-25,Defender,,77.5
P-02839,Kevin Rodríguez,2000-03-04,Forward,,79.7
P-37678,Riccardo Montolivo,1985-01-18,Midfielder,,87.1
P-49219,Carlos Llamosa,1969-06-30,Defender,,80.2
P-21208,Héctor Moreno,1988-01-17,Defender,,78.4
P-52032,Emre Aşık,1973-12-13,Defender,,78.2
P-03922,Dong-won Ji,1991-05-28,Forward,,76.4
P-17733,Christian Lara,1980-04-27,Midfielder,,78.8
P-07796,Johan Mojica,1992-08-21,Defender,,76.3
P-46512,Martin Jiránek,1979-05-25,Defender,,73.6
P-07864,Eugene Galekovic,1981-06-12,Midfielder,,72.0
P-45280,Pape Gueye,1999-01-24,Midfielder,,78.7
P-72448,Karim Haggui,1984-01-21,Defender,,75.3
P-85324,Reza Ghoochannejhad,1987-09-20,Forward,,72.8
P-26059,Jeremy Christie,1983-05-22,Midfielder,,73.2
P-69430,David Jemmali,1974-12-13,Defender,,81.1
P-48433,Sung-yueng Ki,1989-01-24,Midfielder,,79.3
P-62207,Daniel Andersson,1977-08-28,Midfielder,,79.0
P-90129,Martin Olsson,1988-05-17,Defender,,82.8
P-96347,Félix Torres,1997-01-11,Defender,,80.2
P-59950,Miguel Borja,1993-01-26,Forward,,87.1
P-02080,Faryd Mondragón,1971-06-21,Midfielder,,82.9
P-38732,Hassan Al-Haydos,1990-12-11,Midfielder,,70.0
P-53272,Eiji Kawashima,1983-03-20,Midfielder,,76.4
P-76850,Blas Pérez,1981-03-13,Forward,,75.9
P-42918,not applicable Lúcio,1978-05-08,Defender,,87.8
P-36188,Gerónimo Rulli,1992-05-20,Midfielder,,82.4
P-91976,DaMarcus Beasley,1982-05-24,Midfielder,,78.2
P-84807,Shinji Okazaki,1986-04-16,Forward,,80.1
P-32448,Essam El Hadary,1973-01-15,Midfielder,,72.1
P-62939,Moussa N'Diaye,1979-02-20,Midfielder,,82.2
P-73924,Xabi Alonso,1981-11-25,Midfielder,,90.1
P-57865,Raúl Jiménez,1991-05-05,Forward,,83.3
P-40789,Adil Rami,1985-12-27,Defender,,78.5
P-26367,Tim Ream,1987-10-05,Defender,,79.4
P-78068,Josh Wolff,1977-02-25,Forward,,83.6
P-13394,Marc Planus,1982-03-07,Defender,,87.2
P-76596,Tomoaki Makino,1987-05-11,Defender,,85.1
P-88433,not applicable Gavi,2004-08-05,Midfielder,,79.1
P-46890,Karl-Johan Johnsson,1990-01-28,Midfielder,,82.1
P-61292,Yasuhito Endō,1980-01-28,Midfielder,,83.4
P-50522,Tim Howard,1979-03-06,Midfielder,,79.7
P-03307,Miguel Ángel Nadal,1966-07-28,Defender,,88.0
P-67250,Bonaventure Kalou,1978-01-12,Forward,,76.5
